eNodeb Name,Cell ID,Result,Cell Type,Latitude,Longitude,Carrier,Azimuth
52049,201,No Sector Swap Found,,33.76842,72.35001,L900,35.0
52049,23,No Sector Swap Found,,33.76842,72.35001,L2100,280.0
52049,22,No Sector Swap Found,,33.76842,72.35001,L2100,190.0
52049,21,No Sector Swap Found,Sector Split,33.76842,72.35001,L2100,35.0
52049,11,No Sector Swap Found,Sector Split,33.76842,72.35001,L1800,65.0
52049,3,No Sector Swap Found,,33.76842,72.35001,L1800,280.0
52049,2,No Sector Swap Found,,33.76842,72.35001,L1800,190.0
52049,203,No Sector Swap Found,,33.76842,72.35001,L900,280.0
51948,2,No Sector Swap Found,,33.75834,72.34534,L1800,170.0
51948,1,No Sector Swap Found,,33.75834,72.34534,L1800,55.0
51948,23,No Sector Swap Found,,33.75834,72.34534,L2100,300.0
52060,3,No Sector Swap Found,,33.74953,72.38783,L1800,270.0
52060,21,No Sector Swap Found,,33.74953,72.38783,L2100,0.0
52051,1,No Sector Swap Found,Sector Split,33.78627,72.3547,L1800,345.0
52051,2,No Sector Swap Found,Sector Split,33.78627,72.3547,L1800,105.0
52051,3,No Sector Swap Found,Sector Split,33.78627,72.3547,L1800,225.0
52051,12,No Sector Swap Found,Sector Split,33.78627,72.3547,L1800,135.0
52051,11,No Sector Swap Found,Sector Split,33.78627,72.3547,L1800,15.0
52051,13,No Sector Swap Found,Sector Split,33.78627,72.3547,L1800,255.0
52051,21,No Sector Swap Found,Sector Split,33.78627,72.3547,L2100,345.0
52051,22,No Sector Swap Found,,33.78627,72.3547,L2100,120.0
52051,23,No Sector Swap Found,Sector Split,33.78627,72.3547,L2100,225.0
52051,31,No Sector Swap Found,Sector Split,33.78627,72.3547,L2100,15.0
52051,33,No Sector Swap Found,Sector Split,33.78627,72.3547,L2100,255.0
52051,201,No Sector Swap Found,,33.78627,72.3547,L900,345.0
52658,11,No Sector Swap Found,Sector Split,33.77729,72.34199,L1800,45.0
52658,201,No Sector Swap Found,,33.77729,72.34199,L900,15.0
52658,2,No Sector Swap Found,Sector Split,33.77729,72.34199,L1800,85.0
52658,1,No Sector Swap Found,Sector Split,33.77729,72.34199,L1800,15.0
52658,21,No Sector Swap Found,Sector Split,33.77729,72.34199,L2100,15.0
52658,3,No Sector Swap Found,,33.77729,72.34199,L1800,280.0
52658,12,No Sector Swap Found,Sector Split,33.77729,72.34199,L1800,115.0
52658,203,No Sector Swap Found,,33.77729,72.34199,L900,280.0
52658,202,No Sector Swap Found,,33.77729,72.34199,L900,85.0
52658,23,No Sector Swap Found,,33.77729,72.34199,L2100,280.0
52658,22,No Sector Swap Found,,33.77729,72.34199,L2100,100.0
52418,201,No Sector Swap Found,,33.80632,72.36053,L900,5.0
52418,13,No Sector Swap Found,Sector Split,33.80632,72.36053,L1800,5.0
52418,203,No Sector Swap Found,,33.80632,72.36053,L900,335.0
52418,202,No Sector Swap Found,,33.80632,72.36053,L900,270.0
52418,33,No Sector Swap Found,Sector Split,33.80632,72.36053,L2100,5.0
52408,203,No Sector Swap Found,,33.764052,72.3575749999999,L900,235.0
