eNodeb Name,Cell ID,Carrier,Site ID,Actual Tilt
51242,12,L1800,51242.0,0.0
51242,32,L2100,51242.0,0.0
51254,11,L1800,51254.0,0.0
51254,13,L1800,51254.0,0.0
51254,31,L2100,51254.0,0.0
51254,33,L2100,51254.0,0.0
51242,13,L1800,51242.0,0.0
51242,33,L2100,51242.0,0.0
52051,13,L1800,52051.0,0.0
52051,33,L2100,52051.0,0.0
8099,12,L1800,8099.0,0.0
8099,13,L1800,8099.0,0.0
8099,32,L2100,8099.0,0.0
8099,33,L2100,8099.0,0.0
9678,11,L1800,9678.0,0.0
9678,31,L2100,9678.0,0.0
3129,201,L900,3129.0,0.0
3129,202,L900,3129.0,0.0
3129,203,L900,3129.0,0.0
8099,201,L900,8099.0,0.0
8099,202,L900,8099.0,0.0
8099,203,L900,8099.0,0.0
8353,201,L900,8353.0,0.0
8353,202,L900,8353.0,0.0
8353,203,L900,8353.0,0.0
8465,201,L900,8465.0,0.0
8465,202,L900,8465.0,0.0
8465,203,L900,8465.0,0.0
8466,201,L900,8466.0,0.0
8466,202,L900,8466.0,0.0
9225,201,L900,9225.0,0.0
9225,202,L900,9225.0,0.0
9225,203,L900,9225.0,0.0
9675,201,L900,9675.0,0.0
9675,202,L900,9675.0,0.0
9675,203,L900,9675.0,0.0
9677,201,L900,9677.0,0.0
9677,202,L900,9677.0,0.0
9677,203,L900,9677.0,0.0
9678,201,L900,9678.0,0.0
9678,202,L900,9678.0,0.0
9678,203,L900,9678.0,0.0
9912,201,L900,9912.0,0.0
9912,202,L900,9912.0,0.0
9912,203,L900,9912.0,0.0
9931,201,L900,9931.0,0.0
9931,202,L900,9931.0,0.0
9931,203,L900,9931.0,0.0
50616,201,L900,50616.0,0.0
50616,202,L900,50616.0,0.0
50616,203,L900,50616.0,0.0
50618,201,L900,50618.0,0.0
50618,202,L900,50618.0,0.0
50618,203,L900,50618.0,0.0
50827,201,L900,50827.0,0.0
50827,202,L900,50827.0,0.0
50827,203,L900,50827.0,0.0
50841,201,L900,50841.0,0.0
50841,202,L900,50841.0,0.0
50841,203,L900,50841.0,0.0
50842,201,L900,50842.0,0.0
50842,202,L900,50842.0,0.0
50842,203,L900,50842.0,0.0
51013,201,L900,51013.0,0.0
51013,202,L900,51013.0,0.0
51013,203,L900,51013.0,0.0
51242,201,L900,51242.0,0.0
51242,202,L900,51242.0,0.0
51242,203,L900,51242.0,0.0
51254,201,L900,51254.0,0.0
51254,202,L900,51254.0,0.0
51254,203,L900,51254.0,0.0
51257,201,L900,51257.0,0.0
51257,202,L900,51257.0,5.65
51257,203,L900,51257.0,0.0
51948,201,L900,51948.0,0.0
51948,202,L900,51948.0,0.0
51948,203,L900,51948.0,0.0
52049,201,L900,52049.0,0.0
52049,202,L900,52049.0,0.0
52049,203,L900,52049.0,0.0
52051,201,L900,52051.0,0.0
52051,202,L900,52051.0,0.0
52051,203,L900,52051.0,0.0
52060,201,L900,52060.0,0.0
52060,202,L900,,
52060,203,L900,52060.0,0.0
52408,201,L900,52408.0,0.0
52408,202,L900,52408.0,0.0
52408,203,L900,52408.0,0.0
52409,201,L900,52409.0,0.0
52409,202,L900,52409.0,0.0
52409,203,L900,52409.0,0.0
52418,201,L900,52418.0,0.0
52418,202,L900,52418.0,0.0
52418,203,L900,52418.0,0.0
52658,201,L900,52658.0,0.0
52658,202,L900,52658.0,0.0
52658,203,L900,52658.0,0.0
52994,201,L900,52994.0,0.0
52994,203,L900,52994.0,0.0
53232,202,L900,53232.0,0.0
53232,203,L900,53232.0,0.0
8466,203,L900,8466.0,0.0
53310,201,L900,53310.0,0.0
53310,202,L900,53310.0,0.0
53310,203,L900,53310.0,0.0
53288,1,L1800,53288.0,0.0
53288,2,L1800,53288.0,0.0
53288,3,L1800,53288.0,0.0
53288,21,L2100,53288.0,0.0
53288,22,L2100,53288.0,0.0
53288,23,L2100,53288.0,0.0
51254,12,L1800,51254.0,0.0
52418,11,L1800,52418.0,0.0
51013,12,L1800,,
51013,32,L2100,,
50618,13,L1800,,
50618,33,L2100,,
